Contact ID,Account ID,Created By ID,Created Date,Deleted,Email,Email Bounced Date,Email Bounced Reason,First Name,Full Name,Individual ID,Is Email Bounced,Jigsaw Contact ID,Last Activity,Last Modified By ID,Last Modified Date,Last Name,Last Referenced Date,Last Stay-in-Touch Request Date,Last Stay-in-Touch Save Date,Last Viewed Date,Master Record ID,Mobile Phone,Owner ID,Photo URL,Record Type ID,Salutation,System Modstamp,등급,본체 최근 90일 구매 금액,상담횟수,유형,주변기기 최근 90일 구매 금액,휴대폰 번호
"003IS000001iklcYAA","001IS0000030eFtYAI","005IS000000hmLyYAI","03/14/2024T11:42:38.000Z","false","sdd@pjt.com","","","호석","정 호석","","false","","","005IS000000heJJYAY","03/24/2024T15:00:11.000Z","정","","","","","","","005IS000000hmLyYAI","","012IS000000PJYTYA4","Mr.","03/24/2024T15:00:11.000Z","B등급","3000000.0","1.0","구매 고객","0.0","01083002455"
"003IS000004iQj0YAE","001IS00000312btYAA","005IS000000hx21YAA","03/15/2024T07:07:39.000Z","false","silla@pjt.com","","","신라","이 신라","","false","","","005IS000000heJJYAY","03/24/2024T15:00:11.000Z","이","03/18/2024T03:45:17.000Z","","","03/18/2024T03:45:17.000Z","","","005IS000000hx21YAA","","012IS000000PJYTYA4","Mr.","03/24/2024T15:00:11.000Z","C등급","1550000.0","1.0","구매 고객","0.0","01041852234"
"003IS000004ih2fYAA","001IS0000030eGDYAY","005IS000000hmTAYAY","03/17/2024T11:15:38.000Z","false","jy@pjt.com","","","민지","김 민지","","false","","","005IS000000heJJYAY","03/24/2024T15:00:11.000Z","김","03/18/2024T03:40:42.000Z","","","03/18/2024T03:40:42.000Z","","","005IS000000hmTAYAY","","012IS000000PJYTYA4","Ms.","03/24/2024T15:00:11.000Z","A등급","2.4E7","6.0","구매 고객","200000.0","01078978944"
"003IS000001imjNYAQ","","005IS000000hmLtYAI","03/14/2024T10:24:38.000Z","false","","","","연경","김 연경","","false","","","005IS000000heIzYAI","03/23/2024T05:20:48.000Z","김","03/15/2024T04:19:43.000Z","","","03/15/2024T04:19:43.000Z","","","005IS000000hmLtYAI","","012IS000000PJYTYA4","","03/23/2024T05:20:48.000Z","D등급","0.0","3.0","상담 고객","0.0","010-2321-4434"
"003IS000004iXTMYA2","001IS0000030ceJYAQ","005IS000000hyV1YAI","03/16/2024T08:09:29.000Z","false","sass@pjt.com","","","씨","김 씨","","false","","","005IS000000heJJYAY","03/18/2024T05:12:21.000Z","김","03/17/2024T10:34:38.000Z","","","03/17/2024T10:34:38.000Z","","","005IS000000hyV1YAI","","012IS000000PJYTYA4","Ms.","03/18/2024T05:12:21.000Z","D등급","0.0","0.0","상담 고객","0.0","01011111111"
"003IS000004iXTNYA2","001IS0000030ceJYAQ","005IS000000hyV1YAI","03/16/2024T08:18:04.000Z","false","juseungpark@naver.com","","","주승","박 주승","","false","","","005IS000000heJJYAY","03/24/2024T15:00:11.000Z","박","03/18/2024T04:13:33.000Z","","","03/18/2024T04:13:33.000Z","","","005IS000000hyV1YAI","","012IS000000PJYTYA4","Mr.","03/24/2024T15:00:11.000Z","B등급","2940000.0","5.0","구매 고객","0.0","01032320226"
"003IS000001imkQYAQ","001IS0000030eGDYAY","005IS000000hmTAYAY","03/14/2024T10:36:06.000Z","false","yuyu@pjt.com","","","우현","남 우현","","false","","","005IS000000heJJYAY","03/24/2024T15:00:11.000Z","남","03/15/2024T08:26:48.000Z","","","03/15/2024T08:26:48.000Z","","","005IS000000hmTAYAY","","012IS000000PJYTYA4","Mr.","03/24/2024T15:00:11.000Z","A등급","5.82E7","3.0","구매 고객","1559000.0","01074108520"
"003IS000001imkRYAQ","001IS00000310pyYAA","005IS000000hmTAYAY","03/14/2024T10:38:45.000Z","false","yuwu1@pjt.com","","","명수","김 명수","","false","","","005IS000000heJJYAY","03/24/2024T15:00:11.000Z","김","","","","","","","005IS000000hmTAYAY","","012IS000000PJYTYA4","Mr.","03/24/2024T15:00:11.000Z","B등급","3880000.0","1.0","구매 고객","914000.0","01046459965"
"003IS000001imlnYAA","001IS0000030eFZYAY","005IS000000hmU3YAI","03/14/2024T10:49:14.000Z","false","","","","우리","한 우리","","false","","","005IS000000heJJYAY","03/24/2024T15:00:11.000Z","한","","","","","","","005IS000000hmU3YAI","","012IS000000PJYTYA4","","03/24/2024T15:00:11.000Z","A등급","9.91E7","2.0","구매 고객","0.0","010-0023-5564"
"003IS000004ih18YAA","001IS0000030eGDYAY","005IS000000hmTAYAY","03/17/2024T10:54:14.000Z","false","jys@pjt.com","","","지영","김 지영","","false","","","005IS000000heJJYAY","03/24/2024T15:00:11.000Z","김","","","","","","","005IS000000hmTAYAY","","012IS000000PJYTYA4","Mr.","03/24/2024T15:00:11.000Z","B등급","3100000.0","1.0","구매 고객","0.0","01011221122"
